,precision,recall,f1-score,support
Paddy,0.8857484076433121,0.8903561424569828,0.888046298144083,2499.0
Maize,0.8702745722244329,0.8741007194244604,0.8721834496510469,2502.0
Chili,0.8972491909385113,0.8879103282626101,0.8925553319919517,2498.0
Cucumber,0.8702962369895917,0.8744971842316975,0.8723916532905297,2486.0
Groundnut,0.8972907399919127,0.8900922583233053,0.8936770036246476,2493.0
Spinach,0.8918278720884327,0.8953626634958383,0.8935917721518988,2523.0
accuracy,0.8854076394907007,0.8854076394907007,0.8854076394907007,0.8854076394907007
macro avg,0.8854478366460322,0.8853865493658156,0.8854075848090263,15001.0
weighted avg,0.8854626165326077,0.8854076394907007,0.8854255296753963,15001.0
