,precision,recall,f1-score,support
0,0.05405405405405406,0.05673758865248227,0.05536332179930796,141.0
1,0.10144927536231885,0.09722222222222222,0.09929078014184398,144.0
2,0.0457516339869281,0.04794520547945205,0.046822742474916385,146.0
3,0.10191082802547771,0.10596026490066225,0.1038961038961039,151.0
4,0.09848484848484848,0.09027777777777778,0.09420289855072464,144.0
5,0.09302325581395349,0.08450704225352113,0.08856088560885608,142.0
6,0.07975460122699386,0.09219858156028368,0.08552631578947369,141.0
7,0.12,0.10273972602739725,0.11070110701107011,146.0
8,0.09146341463414634,0.09803921568627451,0.0946372239747634,153.0
9,0.08888888888888889,0.08391608391608392,0.08633093525179857,143.0
10,0.0641025641025641,0.06711409395973154,0.06557377049180328,149.0
accuracy,0.084375,0.084375,0.084375,0.084375
macro avg,0.08535303314365217,0.08424161840326261,0.084627825908242,1600.0
weighted avg,0.08544462859347339,0.084375,0.08474142432118503,1600.0
