accuracy,loss,val_accuracy,val_loss
0.9077624082565308,0.2217172086238861,0.9271470308303833,0.16407373547554016
0.9277026057243347,0.1641300767660141,0.9364530444145203,0.13932795822620392
0.9354792833328247,0.13905027508735657,0.945493221282959,0.1165655180811882
0.9412904381752014,0.11969305574893951,0.9469556212425232,0.1056293249130249
0.9431419968605042,0.10932274907827377,0.9476203322410583,0.09880730509757996
0.9444238543510437,0.10361383110284805,0.9478862285614014,0.09543170779943466
0.9460191130638123,0.10008833557367325,0.9470885396003723,0.09602503478527069
0.9458196759223938,0.09874535351991653,0.9485509395599365,0.08901705592870712
0.9471585154533386,0.09581912308931351,0.9482850432395935,0.09043040871620178
0.9467312097549438,0.09454100579023361,0.9486838579177856,0.09525677561759949
0.9482979774475098,0.09387227147817612,0.9493485689163208,0.08600497990846634
0.9473294615745544,0.09259622544050217,0.9476203322410583,0.091542549431324
0.9477567076683044,0.09209885448217392,0.9470885396003723,0.09485365450382233
0.9492095112800598,0.09073330461978912,0.9470885396003723,0.08885062485933304
0.949608325958252,0.0900721326470375,0.9497473835945129,0.08637987822294235
0.948782205581665,0.08983816206455231,0.9516085982322693,0.08429102599620819
0.9480416178703308,0.08977343887090683,0.9485509395599365,0.08857185393571854
0.9488391876220703,0.08943114429712296,0.9474873542785645,0.08949163556098938
0.9488106966018677,0.08765753358602524,0.951076865196228,0.0860251933336258
0.9477282166481018,0.08874878287315369,0.9464238286018372,0.08594333380460739
0.9492949843406677,0.08812965452671051,0.9473544359207153,0.08504790812730789
0.9493804574012756,0.08743968605995178,0.9490826725959778,0.0831206813454628
0.9489816427230835,0.08624143153429031,0.950545072555542,0.082367904484272
0.9489531517028809,0.08697067201137543,0.9468226432800293,0.0857837051153183
0.9504913687705994,0.08628908544778824,0.9504121541976929,0.08302048593759537
0.9501495361328125,0.08620847761631012,0.9481520652770996,0.08488208055496216
0.9489246606826782,0.08654196560382843,0.9450944066047668,0.09269092231988907
0.9500071406364441,0.08510249108076096,0.9464238286018372,0.09085939824581146
0.9493804574012756,0.08577616512775421,0.9481520652770996,0.08433836698532104
0.9490101337432861,0.08618984371423721,0.9473544359207153,0.0840681791305542
0.9499501585960388,0.08589539676904678,0.950279176235199,0.08089008182287216
0.9496653079986572,0.0846736803650856,0.9497473835945129,0.08340004086494446
0.9488961696624756,0.08521649986505508,0.9494815468788147,0.08071688562631607
0.9511750340461731,0.0846225842833519,0.9501462578773499,0.086339071393013
0.9501780271530151,0.08451791107654572,0.9474873542785645,0.08453138917684555
0.9500356316566467,0.0860089585185051,0.9489497542381287,0.08098617941141129
0.9502065181732178,0.08417569845914841,0.9472214579582214,0.08437277376651764
0.9517732262611389,0.08355100452899933,0.9470885396003723,0.08613678812980652
0.9508616924285889,0.08412215858697891,0.950545072555542,0.08131146430969238
0.9506053328514099,0.08329369127750397,0.951076865196228,0.08073040097951889
0.951004147529602,0.0837889239192009,0.9492156505584717,0.08283008635044098
0.9502350091934204,0.08378726989030838,0.9521403908729553,0.07925654202699661
0.950519859790802,0.08300209045410156,0.9512097835540771,0.07874516397714615
0.9500356316566467,0.08404608070850372,0.9484179615974426,0.08164350688457489
0.9501210451126099,0.08410220593214035,0.9504121541976929,0.08279276639223099
0.9511465430259705,0.08306490629911423,0.9506779909133911,0.08216464519500732
0.9509471654891968,0.08155564963817596,0.9493485689163208,0.0826558992266655
0.9511750340461731,0.08225452154874802,0.9489497542381287,0.08186903595924377
0.9528272151947021,0.08157045394182205,0.9501462578773499,0.08177078515291214
0.9503204822540283,0.08304616808891296,0.9496144652366638,0.07942187041044235
0.95151686668396,0.08172745257616043,0.9489497542381287,0.08120183646678925
0.9518871903419495,0.08150026947259903,0.9482850432395935,0.08690550923347473
0.9527987241744995,0.08207152038812637,0.9493485689163208,0.08041379600763321
