threshold,f1_score,accuracy
0.0,0.6667257421355782,0.5000664628472684
0.01,0.9286595902246358,0.9231689485577562
0.02,0.9316493313521546,0.9266250166157118
0.03,0.9343101949584006,0.9296823075900572
0.04,0.9366363749533175,0.9323408214807922
0.05,0.9375545307241681,0.9334042270370863
0.06,0.9384903306300686,0.9344676325933803
0.07,0.9396627108057464,0.9357968895387478
0.08,0.9398674834354295,0.9360627409278214
0.09,0.9405730013762041,0.9368602950950419
0.1,0.9410439354111904,0.9373919978731889
0.11,0.9415006889640486,0.9379237006513359
0.12,0.9424451410658308,0.9389871062076299
0.13,0.942548921224285,0.9391200319021666
0.14,0.9433772755806654,0.940050511763924
0.15,0.9434815373021854,0.9401834374584607
0.16,0.9438371654730494,0.940582214542071
0.17,0.9444304752325874,0.9412468430147547
0.18,0.9446680080482898,0.9415126944038282
0.19,0.9449056603773585,0.9417785457929018
0.2,0.9451296249685376,0.9420443971819753
0.21,0.9460821365583271,0.9431078027382693
0.22,0.9464398235664776,0.9435065798218796
0.23,0.9473949791850637,0.9445699853781736
0.24,0.9477404695783893,0.9449687624617839
0.25,0.9478337754199824,0.9451016881563206
0.26,0.9489124936772888,0.9462980194071514
0.27,0.9491525423728814,0.946563870796225
0.28,0.9495000632831287,0.9469626478798352
0.29,0.9493542669030134,0.9468297221852984
0.3,0.9495436105476673,0.9470955735743719
0.31,0.9495052017254504,0.9470955735743719
0.32,0.9496001015615082,0.9472284992689087
0.33,0.9500571864277545,0.9477602020470557
0.34,0.9500317863954227,0.9477602020470557
0.35000000000000003,0.9502354588265242,0.9480260534361292
0.36,0.9504395464390368,0.9482919048252028
0.37,0.9511541895166433,0.9490894589924233
0.38,0.9511167836630504,0.9490894589924233
0.39,0.951213282247765,0.94922238468696
0.4,0.9516376663254862,0.949754087465107
0.41000000000000003,0.9523321373654536,0.9505516416323275
0.42,0.9522219368096584,0.9505516416323275
0.43,0.9519886729308792,0.9504187159377908
0.44,0.9529214497613827,0.9514821214940848
0.45,0.9533169533169533,0.9520138242722318
0.46,0.9540736896730669,0.9529443041339891
0.47000000000000003,0.9535974973931178,0.9526784527449156
0.48,0.9530043199371645,0.9522796756613053
0.49,0.9520926559620952,0.9516150471886216
0.5,0.9506809467142668,0.9504187159377908
0.51,0.9511643379906853,0.9512162701050113
0.52,0.9508898701993844,0.9512162701050113
0.53,0.9494813417755624,0.9501528645487173
0.54,0.9493224932249322,0.950285790243254
0.55,0.9498910675381264,0.9510833444104746
0.56,0.9505194095133953,0.9518808985776951
0.5700000000000001,0.9505276140879814,0.9520138242722318
0.58,0.9512563504050529,0.9528113784394523
0.59,0.9507565337001376,0.952412601355842
0.6,0.9504405286343612,0.9521467499667686
0.61,0.9501377410468319,0.9518808985776951
0.62,0.9497931034482758,0.9516150471886216
0.63,0.9493303879607897,0.9512162701050113
0.64,0.949433545178226,0.951349195799548
0.65,0.949391592920354,0.951349195799548
0.66,0.9487676543893658,0.9508174930214011
0.67,0.9487392629537268,0.9508174930214011
0.68,0.9485793485793486,0.9506845673268642
0.6900000000000001,0.948376353039134,0.9505516416323275
0.7000000000000001,0.9481872482289206,0.9504187159377908
0.71,0.9474562135112594,0.949754087465107
0.72,0.9471488178025035,0.9494882360760335
0.73,0.9466945024356298,0.9490894589924233
0.74,0.9463862971730956,0.9488236076033497
0.75,0.9459158070811263,0.9484248305197395
0.76,0.945768855430085,0.9482919048252028
0.77,0.9454748291730581,0.9480260534361292
0.78,0.9454443979349798,0.9480260534361292
0.79,0.9452666852834404,0.9478931277415924
0.8,0.9448246961866182,0.9474943506579822
0.81,0.9443823365008385,0.9470955735743719
0.8200000000000001,0.9437762237762237,0.946563870796225
0.8300000000000001,0.9436127046313139,0.9464309451016881
0.84,0.9434490481522956,0.9462980194071514
0.85,0.9432852541660832,0.9461650937126147
0.86,0.9429732380552053,0.9458992423235412
0.87,0.943089430894309,0.9460321680180779
0.88,0.9423319769889154,0.9453675395453941
0.89,0.9415894411682112,0.9447029110727103
0.9,0.9406970207982013,0.9439053569054898
0.91,0.9401012373453318,0.9433736541273429
0.92,0.939206304531382,0.9425760999601223
0.93,0.9387410223912125,0.942177322876512
0.9400000000000001,0.9387237639104099,0.942177322876512
0.9500000000000001,0.9376410835214447,0.9412468430147547
0.96,0.9368733229769807,0.940582214542071
0.97,0.9361221028829847,0.9399175860693872
0.98,0.9352009054895303,0.9391200319021666
0.99,0.9303581580443434,0.9348664096769905
1.0,0.8661844484629295,0.8819619832513624
