,precision,recall,f1-score,support
Chili,0.9458037358589845,0.9556087187666135,0.9506809467142668,3762.0
Eggplant,0.9551316496507254,0.9452273331560755,0.9501536816784713,3761.0
accuracy,0.9504187159377908,0.9504187159377908,0.9504187159377908,0.9504187159377908
macro avg,0.950467692754855,0.9504180259613445,0.950417314196369,7523.0
weighted avg,0.9504670727951453,0.9504187159377908,0.9504173492399046,7523.0
