,Barley,Cotton,Ground Nuts,Maize,Millets,Oil seeds,Paddy,Pulses,Sugarcane,Tobacco,Wheat
Barley,1,0,5,26,23,0,0,14,16,0,21
Cotton,0,1,7,33,19,0,0,14,11,0,23
Ground Nuts,1,0,9,33,14,0,0,8,17,0,28
Maize,0,0,11,45,17,0,0,4,11,0,25
Millets,2,1,9,38,17,0,0,3,10,0,27
Oil seeds,0,0,10,29,16,0,0,5,10,0,37
Paddy,0,1,12,27,17,0,0,7,11,0,31
Pulses,0,0,10,32,19,0,0,8,14,0,26
Sugarcane,0,1,8,33,13,0,0,10,13,0,37
Tobacco,0,0,7,33,13,0,0,6,10,0,38
Wheat,0,2,10,30,23,0,0,9,9,0,29
